feature,coefficient,abs_coefficient
isNew,-1.6055852454765178,1.6055852454765178
counts_pictures,0.43700993875349814,0.43700993875349814
lang_it,-0.3016083612840968,0.3016083612840968
lang_fr,-0.2664348650689611,0.2664348650689611
lang_es,-0.14830586720962208,0.14830586720962208
lang_pt,-0.14742036370974362,0.14742036370974362
lang_count,0.14549174469634782,0.14549174469634782
flirtInterests_friends,-0.13631136913829967,0.13631136913829967
isVip,-0.12883804706867513,0.12883804706867513
whazzup_len,0.110719284429803,0.110719284429803
isMobile,0.09432897399700826,0.09432897399700826
lang_de,-0.08956730625048982,0.08956730625048982
isFlirtstar,0.08311441779908502,0.08311441779908502
isHighlighted,0.0831144177990848,0.0831144177990848
flirtInterests_date,0.0818597096433965,0.0818597096433965
flirtInterests_chat,0.07788797152395427,0.07788797152395427
isOnline,-0.07697388481007467,0.07697388481007467
counts_details,0.07479081993772288,0.07479081993772288
is_EU,0.06089377524858408,0.06089377524858408
age,-0.05446579253973563,0.05446579253973563
lang_en,-0.004954827660727967,0.004954827660727967
isInfluencer,0.0,0.0
