feature,mean_abs_shap
isNew,0.5864376
counts_pictures,0.33814028
whazzup_len,0.20065333
counts_details,0.07350603
lang_de,0.05223963
lang_count,0.041469812
flirtInterests_chat,0.03917961
flirtInterests_friends,0.037653316
isOnline,0.028562196
age,0.027814642
flirtInterests_date,0.021407919
isMobile,0.012053275
lang_en,0.0116486875
lang_fr,0.0074106515
lang_it,0.0060305977
is_EU,0.003819654
isHighlighted,0.0013840351
lang_pt,0.0008831695
isVip,0.0007578153
lang_es,0.0006576875
isFlirtstar,0.0
isInfluencer,0.0
