feature,gain_importance
isNew,0.66338205
counts_pictures,0.072195515
whazzup_len,0.043953188
lang_count,0.02628807
lang_de,0.025559481
isOnline,0.018775567
counts_details,0.017371463
flirtInterests_chat,0.014938469
lang_en,0.014660755
flirtInterests_friends,0.013025424
lang_fr,0.010939581
age,0.01075146
flirtInterests_date,0.010629316
is_EU,0.010513012
isMobile,0.009633592
isVip,0.00948736
isHighlighted,0.008007602
lang_pt,0.0068743154
lang_it,0.006795924
lang_es,0.0062177996
isFlirtstar,0.0
isInfluencer,0.0
